Item,Transaction,kuantitas
JEMURAN ALUMINIUM STANDART WARNA,283,2
KIPAS WELHOME BERDIRI 1681,283,1
BONEKA BOBA LED XL,284,1
FRYPAN SET TEFLON HITAM ISI 2,285,1
SPONS MANDI,285,1
TEMPAT BUMBU ISI 4 UK M,285,1
BATU BAKAR,285,1
PISAU STENLIS BUAH,285,1
SAMPAH INJAK,285,1
SIRUP ABC DUS,286,1
WAJAN WARNA GSF,287,1
SAPU LIDI KAYU GEPENG,287,1
SARINGAN TEH TANGGUNG,287,1
PISAU SULTAN,288,1
KOK,288,1
TEFLON GSF 22CM,289,1
TABLET LCD,290,1
MAINAN JEEP PUTIH,291,1
MANTEL HARMONY JAKET CELANA,292,1
TREMOS INDOGLASS 500ML,292,1
TIMBANGAN DAPUR KENMASTER,293,1
MAINAN TEFLON YK 27,293,1
BOTOL MINUM 750ML SL,294,3
BOTOL KACA KAKTUS,294,3
KASUR LANTAI PALEMBANG,295,1
MAINAN TARIK,295,1
KIPAS TANGAN GRADASI,296,1
TABLET LCD,297,2
BUSA ROYAL 180x20,298,1
TABLET LCD,298,1
MAINAN TEFLON YK 27,299,1
BOTOL KACA KAKTUS,300,5
TEKO SET JAGO,301,1
BAD COVER BONITA 180X200,302,1
MAWAR LAUNDRY REFILL,303,1
MEJA BELAJAR IMPOR KARAKTER,303,2
BAK HITAM 28 SJP,303,1
KIPAS TANGAN GRADASI,304,1
GELAS TIFFANY,305,1
TIMBANGAN KUE GSF DIGITAL 4505,305,1
SIRUP ABC DUS,306,1
LEM DEXTON BOTOL,307,1
SPRINGBED BIGDREAM 180,307,1
KIPAS WELHOME BERDIRI 1681,307,1
SIRUP ABC DUS,308,1
TABLET LCD,309,1
ROYAL FOAM KAIN ZAKAT,310,1
TREMOS ELEPHANT,310,1
FRYPAN 3288,311,1
LEMARI GMCC TIREX 4SSN,312,1
SIRUP ABC DUS,313,1
BATU BAKAR,313,1
BONEKA BOBA LED XL,313,1
CANGKIR LEPEK JAGO,313,1
SIRUP ABC DUS,315,1
KERANJANG PAJERO WARNA,316,2
RACUN CICAK,316,1
BOTOL KACA KAKTUS,317,2
STIKER MOMO,317,1
CUTER TRANSPARAN,317,1
SIRUP ABC DUS,318,2
REGULATOR DESTEC PANDOM METER,319,1
TREMOS INDOGLASS 750ML,319,1
MAINAN TEFLON YK 27,319,1
BANTAL/GULING MAHKOTA MERAH,320,1
PANCI EAGLE 22 SARANGAN,321,1
KERANJANG PAJERO WARNA,322,7
BOTOL KACA KAKTUS,322,2
LEMARI LS2P KACA,322,1
MASKER DUCKBIL ANAK,323,1
KERANJANG PAJERO WARNA,324,3
TABLET LCD,325,1
CUTER TRANSPARAN,325,1
KERANJANG PAJERO WARNA,325,2
TOPRON,325,1
SIRUP ABC DUS,326,1
SPREI MY LOVE 180 30CM,326,1
SPRINGBED BIGDREAM 180,327,1
TOPLES 16L,328,1
FRYPAN 3288,328,1
TREMOS ELEPHANT,329,1
MAGICOM MIYAKO 638,329,1
JEMURAN LIPAT NAGATO,330,1
BUSA INOAC 140x30,331,1
KIPAS DINDING WELHOME 1663E,331,1
WAFER CINTA QITA,332,1
CUTER TRANSPARAN,333,1
TABLET LCD,333,1
REGULATOR DESTEC PANDOM METER,334,1
BONEKA BOBA LED XL,335,1
TABLET LCD,335,1
RACUN TIKUS,336,3
MANTEL POLKADOT DOLPHIN,336,1
SAJADAH PRADA TAS,336,1
TABLET LCD,337,2
TABLET LCD,338,3
MASKER DUCKBIL ANAK,338,1
DOUBLE PAN HAPPY CALL,339,1
TABLET LCD,339,1
SIRUP ABC DUS,340,1
CELENGAN SIZE S,340,1
TEKO SET JAGO,340,1
LEMARI 4SSN FAWSLINE WARNA WARNI,341,1
KOK,341,1
GELAS JUS PORTO,341,1
ROYAL FOAM KAIN ZAKAT,341,1
GELAS JUS PORTO,342,4
FRYPAN 3288,343,1
RACUN TIKUS,343,1
SPREI MY LOVE 180 30CM,344,8
SPREI ILLUSION 160,344,1
TEMPAT TISU KOTAK PANJANG,345,1
PANGGANGAN PORTABEL,346,1
BOTOL MINUM 750ML SL,347,2
BOTOL KACA KAKTUS,347,2
PAYUNG PELANGI JUMBO,347,1
KERANJANG PAJERO WARNA,347,3
BLENDER OMEGA NATIONAL,348,1
TEKO SET JAGO,349,1
BONEKA BOBA LED XL,350,1
TABLET LCD,351,2
PAYUNG LIPAT 3 DIMENSI,351,1
STIKER MOMO,351,1
TABLET LCD,352,1
SPREI MY LOVE 180 30CM,353,2
MAWAR LAUNDRY REFILL,353,2
